,Fires,Affected area (ha). With trees,Affected area (ha). With scrub,Affected area (ha). Total,Year
Baix Llobregat,43,58.2,24.2,82.5,2013
Baix Penedès,9,0.2,0.7,0.9,2013
Barcelonès,8,1.1,4.4,5.5,2013
Berguedà,9,0.1,0.8,0.9,2013
Cerdanya,1,0.1,0,0.1,2013
Conca de Barberà,9,0.4,0.5,0.9,2013
Garraf,13,0.7,0.4,1.1,2013
Garrigues,6,0.7,0.3,0.9,2013
Garrotxa,2,0.2,0.1,0.3,2013
Gironès,24,4,1.6,5.6,2013
Maresme,26,1.3,2.1,3.4,2013
Montsià,11,0,9.5,9.5,2013
Noguera,15,3.3,11.4,14.6,2013
Osona,10,1,0.2,1.2,2013
