year,subregion,fires,affected_wood_ha,affected_scrub_ha,affected_total_ha,affected_size
2007-01-01,Baix Llobregat,20.0,0.6,9.8,10.4,10 > 100 ha
2007-01-01,Baix Penedès,5.0,4.3,2.7,7.0,0 <10 ha
2007-01-01,Barcelonès,14.0,0.6,11.3,11.9,10 > 100 ha
2007-01-01,Berguedà,13.0,1.1,23.7,24.8,10 > 100 ha
2007-01-01,Cerdanya,3.0,1.2,0.6,1.8,0 <10 ha
2007-01-01,Conca de Barberà,11.0,2.9,1.2,4.1,0 <10 ha
2007-01-01,Garraf,2.0,0.0,0.2,0.2,0 <10 ha
2007-01-01,Garrigues,16.0,2.9,2.5,5.4,0 <10 ha
2007-01-01,Garrotxa,14.0,0.1,1.5,1.5,0 <10 ha
2007-01-01,Gironès,41.0,2.5,2.0,4.5,0 <10 ha
2007-01-01,Maresme,11.0,8.0,1.8,9.7,0 <10 ha
2007-01-01,Montsià,9.0,0.0,37.8,37.8,10 > 100 ha
2007-01-01,Noguera,7.0,10.0,1.0,11.0,10 > 100 ha
2007-01-01,Osona,10.0,1.2,3.5,4.7,0 <10 ha
2007-01-01,Pallars Jussà,8.0,1.4,6.4,7.8,0 <10 ha
2007-01-01,Pallars Sobirà,4.0,0.0,2.3,2.3,0 <10 ha
2007-01-01,Pla d'Urgell,0.0,0.0,0.0,0.0,
2007-01-01,Pla de l'Estany,13.0,1.0,0.4,1.4,0 <10 ha
2007-01-01,Priorat,8.0,334.3,68.0,402.3,100 > 500 ha
2007-01-01,Ribera d'Ebre,12.0,38.3,83.1,121.4,100 > 500 ha
2007-01-01,Ripollès,2.0,28.5,52.3,80.8,10 > 100 ha
2007-01-01,Segarra,8.0,7.5,10.3,17.8,10 > 100 ha
