subregion,forest_wood_Ha,forest_scrub_Ha,forest_other_Ha,areas_without_vegetation_Ha,rainfed_crops_Ha,irrigated_crops_Ha,urban_Ha,year
Vallès Occidental,23326,7555,554.0,3132,4050,584.0,19116,2008-01-01
Vallès Oriental,46416,7094,3763.0,3895,7195,2479.0,14311,2008-01-01
Alt Camp,14355,12211,0.0,1196,18666,4064.0,3278,2009-01-01
Alt Empordà,55016,25032,3494.0,4630,24992,14622.0,7917,2009-01-01
Alt Penedès,13610,13093,1856.0,2242,22379,282.0,5859,2009-01-01
Alt Urgell,91975,36999,5632.0,2349,3714,2193.0,1839,2009-01-01
Alta Ribagorça,16331,22906,1541.0,829,590,180.0,413,2009-01-01
Anoia,29550,14191,5517.0,2522,28967,447.0,5556,2009-01-01
Bages,66164,24315,4666.0,4839,21836,760.0,7380,2009-01-01
Baix Camp,19122,17275,5016.0,3471,6826,11577.0,6444,2009-01-01
Baix Ebre,17398,23045,5189.0,5167,27940,16659.0,4543,2009-01-01
Baix Empordà,29774,6509,2958.0,4127,12027,8715.0,6150,2009-01-01
Baix Llobregat,11493,10376,1925.0,4217,1874,1742.0,16953,2009-01-01
Baix Penedès,7070,8154,0.0,1475,8077,411.0,4393,2009-01-01
Barcelonès,1416,1043,131.0,162,13,48.0,11557,2009-01-01
Berguedà,63231,19976,21168.0,2573,9300,78.0,2186,2009-01-01
Cerdanya,24566,16862,7445.0,1044,2200,821.0,2068,2009-01-01
Conca de Barberà,20740,13510,457.0,2952,24829,352.0,2180,2009-01-01
Garraf,3846,6717,483.0,966,1625,165.0,4658,2009-01-01
Garrigues,13465,15604,2.0,1156,35320,11842.0,2401,2009-01-01
Garrotxa,56611,2381,4101.0,1214,5556,1308.0,2259,2009-01-01
